"GEO.id","GEO.id2","GEO.display-label","Density per square mile of land area"
"0400000US01",1,"Alabama",94.4
"0400000US02",2,"Alaska",1.2
"0400000US04",4,"Arizona",56.3
"0400000US05",5,"Arkansas",56
"0400000US06",6,"California",239.1
"0400000US08",8,"Colorado",48.5
"0400000US09",9,"Connecticut",738.1
"0400000US10",10,"Delaware",460.8
"0400000US11",11,"District of Columbia",9856.5
"0400000US12",12,"Florida",350.6
"0400000US13",13,"Georgia",168.4
"0400000US15",15,"Hawaii",211.8
"0400000US16",16,"Idaho",19
"0400000US17",17,"Illinois",231.1
"0400000US18",18,"Indiana",181
"0400000US19",19,"Iowa",54.5
"0400000US20",20,"Kansas",34.9
"0400000US21",21,"Kentucky",109.9
"0400000US22",22,"Louisiana",104.9
"0400000US23",23,"Maine",43.1
"0400000US24",24,"Maryland",594.8
"0400000US25",25,"Massachusetts",839.4
"0400000US26",26,"Michigan",174.8
"0400000US27",27,"Minnesota",66.6
"0400000US28",28,"Mississippi",63.2
"0400000US29",29,"Missouri",87.1
"0400000US30",30,"Montana",6.8
"0400000US31",31,"Nebraska",23.8
"0400000US32",32,"Nevada",24.6
"0400000US33",33,"New Hampshire",147
"0400000US34",34,"New Jersey",1195.5
"0400000US35",35,"New Mexico",17
"0400000US36",36,"New York",411.2
"0400000US37",37,"North Carolina",196.1
"0400000US38",38,"North Dakota",9.7
"0400000US39",39,"Ohio",282.3
"0400000US40",40,"Oklahoma",54.7
"0400000US41",41,"Oregon",39.9
"0400000US42",42,"Pennsylvania",283.9
"0400000US44",44,"Rhode Island",1018.1
"0400000US45",45,"South Carolina",153.9
"0400000US46",46,"South Dakota",10.7
"0400000US47",47,"Tennessee",153.9
"0400000US48",48,"Texas",96.3
"0400000US49",49,"Utah",33.6
"0400000US50",50,"Vermont",67.9
"0400000US51",51,"Virginia",202.6
"0400000US53",53,"Washington",101.2
"0400000US54",54,"West Virginia",77.1
"0400000US55",55,"Wisconsin",105
"0400000US56",56,"Wyoming",5.8
"0400000US72",72,"Puerto Rico",1088.2
