2	AL	ALABAMA	32.8416666666667	-86.6333333333333
3	AR	ARKANSAS	34.815	-92.3016666666667
4	AZ	ARIZONA	34.3083333333333	-111.793333333333
6	CA	CALIFORNIA	36.965	-120.081666666667
7	CO	COLORADO	38.9983333333333	-105.641666666667
8	CT	CONNECTICUT	41.595	-72.7066666666667
9	DC	DISTRICT OF COLUMBIA	39.1666666666667	-76.85
10	DE	DELAWARE	38.98	-75.5116666666667
11	FL	FLORIDA	28.1333333333333	-81.6316666666667
12	GA	GEORGIA	32.7133333333333	-83.495
13	HI	HAWAII	20.9516666666667	-157.276666666667
14	IA	IOWA	41.9616666666667	-93.385
15	ID	IDAHO	44.2566666666667	-114.956666666667
16	IL	ILLINOIS	40.0133333333333	-89.3066666666667
17	IN	INDIANA	39.895	-86.2666666666667
18	KS	KANSAS	38.4983333333333	-98.6983333333333
19	KY	KENTUCKY	37.3583333333333	-85.5066666666667
20	LA	LOUISIANA	30.9683333333333	-92.5366666666667
21	MA	MASSACHUSETTS	42.34	-72.0316666666667
23	MD	MARYLAND	39.4416666666667	-77.3716666666667
24	ME	MAINE	45.2533333333333	-69.2333333333333
25	MI	MICHIGAN	45.0616666666667	-84.9383333333333
26	MN	MINNESOTA	46.025	-95.3266666666667
27	MO	MISSOURI	38.495	-92.6316666666667
28	MS	MISSISSIPPI	32.815	-89.7166666666667
29	MT	MONTANA	47.0316666666667	-109.638333333333
31	NC	NORTH CAROLINA	35.6033333333333	-79.455
32	ND	NORTH DAKOTA	47.4116666666667	-100.568333333333
33	NE	NEBRASKA	41.525	-99.8616666666667
35	NH	NEW HAMPSHIRE	43.6416666666667	-71.5716666666667
36	NJ	NEW JERSEY	40.07	-74.5583333333333
37	NM	NEW MEXICO	34.5016666666667	-106.111666666667
40	NV	NEVADA	39.505	-116.931666666667
41	NY	NEW YORK	42.965	-76.0166666666667
42	OH	OHIO	40.3616666666667	-82.7416666666667
43	OK	OKLAHOMA	35.5366666666667	-97.66
45	OR	OREGON	43.8683333333333	-120.978333333333
46	PA	PENNSYLVANIA	40.8966666666667	-77.7466666666667
51	RI	RHODE ISLAND	41.6716666666667	-71.5766666666667
53	SC	SOUTH CAROLINA	33.83	-80.8733333333333
54	SD	SOUTH DAKOTA	44.4016666666667	-100.478333333333
56	TN	TENNESSEE	35.795	-86.6216666666667
57	TX	TEXAS	31.2433333333333	-99.4583333333333
58	UT	UTAH	39.3866666666667	-111.685
59	VA	VIRGINIA	37.4883333333333	-78.5633333333333
61	VT	VERMONT	43.9266666666667	-72.6716666666667
62	WA	WASHINGTON	47.3333333333333	-120.268333333333
63	WI	WISCONSIN	44.4333333333333	-89.7633333333333
64	WV	WEST VIRGINIA	38.5983333333333	-80.7033333333333
65	WY	WYOMING	42.9716666666667	-107.671666666667
